"Match ID","Series","League","Start Date/Time","Match Length","Duration (secs)","Kills Score","","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"6795635891","711667","14552","08 окт 2022 05:42","32:32","1952","35-14","35,14","Radiant","5RATFORCESTAFF","albinozebra1, Speeed, Kitzz, Merlin, Dnm","SG esports","Prada, Yuma, LTH, Faker, Oscar"
"6795575121","711667","14552","08 окт 2022 04:06","1:04:55","3895","28-55","28,55","Dire","SG esports","Prada, Yuma, LTH, Faker, Oscar","5RATFORCESTAFF","albinozebra1, Speeed, Kitzz, Merlin, Dnm"
"6795522911","711667","14552","08 окт 2022 02:40","53:12","3192","44-26","44,26","Radiant","SG esports","Prada, Yuma, LTH, Faker, Oscar","5RATFORCESTAFF","albinozebra1, Speeed, Kitzz, Merlin, Dnm"
"6795478395","711667","14552","08 окт 2022 01:22","45:04","2704","21-52","21,52","Dire","SG esports","Prada, Yuma, LTH, Faker, Oscar","5RATFORCESTAFF","albinozebra1, Speeed, Kitzz, Merlin, Dnm"
"6795419159","711667","14552","07 окт 2022 11:58","49:58","2998","30-31","30,31","Dire","5RATFORCESTAFF","albinozebra1, Speeed, Kitzz, Merlin, Dnm","SG esports","Prada, Yuma, LTH, Faker, Oscar"
"6795309087","711597","14552","07 окт 2022 10:06","51:13","3073","43-37","43,37","Dire","Wolf Team","KJ, Kingrd, HFn, Fcr, Sooths","SG esports","Prada, Yuma, LTH, Faker, Oscar"
"6795236194","711597","14552","07 окт 2022 09:08","29:50","1790","39-19","39,19","Radiant","Wolf Team","KJ, Kingrd, HFn, Fcr, Sooths","SG esports","Prada, Yuma, LTH, Faker, Oscar"
"6795137811","711597","14552","07 окт 2022 08:08","33:22","2002","31-29","31,29","Radiant","SG esports","Prada, Yuma, LTH, Faker, Oscar","Wolf Team","KJ, Kingrd, HFn, Fcr, Sooths"
"6794950213","711465","14552","07 окт 2022 05:57","38:14","2294","15-39","15,39","Dire","Execration","Abeng, Bob, Tino, Palos, Shoyo","BOOM Esports","Skem, Tims, Fbz, Yopaj, JaCkky"
"6794846328","711465","14552","07 окт 2022 04:54","35:30","2130","8-31","8,31","Dire","Execration","Abeng, Bob, Tino, Palos, Shoyo","BOOM Esports","Skem, Tims, Fbz, Yopaj, JaCkky"
"6794752403","711465","14552","07 окт 2022 04:00","27:36","1656","20-8","20,8","Radiant","Execration","Abeng, Bob, Tino, Palos, Shoyo","BOOM Esports","Skem, Tims, Fbz, Yopaj, JaCkky"
"6794647043","711465","14552","07 окт 2022 02:58","36:59","2219","6-39","6,39","Dire","Execration","Abeng, Bob, Tino, Palos, Shoyo","BOOM Esports","Skem, Tims, Fbz, Yopaj, JaCkky"
"6794533305","711465","14552","07 окт 2022 01:42","49:27","2967","28-31","28,31","Radiant","Execration","Abeng, Bob, Tino, Palos, Shoyo","BOOM Esports","Skem, Tims, Fbz, Yopaj, JaCkky"
"6794425796","711443","14552","07 окт 2022 12:17","38:24","2304","15-40","15,40","Dire","Hokori","Thiolicor, Gardick, 4nalog, Vitaly, Lumière","Execration","Abeng, Bob, Tino, Palos, Shoyo"
"6794369274","711443","14552","07 окт 2022 11:19","32:11","1931","16-27","16,27","Dire","Execration","Abeng, Bob, Tino, Palos, Shoyo","Hokori","Thiolicor, Gardick, 4nalog, Vitaly, Lumière"
"6794282041","711443","14552","07 окт 2022 10:00","51:26","3086","51-27","51,27","Radiant","Execration","Abeng, Bob, Tino, Palos, Shoyo","Hokori","Thiolicor, Gardick, 4nalog, Vitaly, Lumière"
"6794010383","711321","14552","07 окт 2022 04:25","26:40","1600","11-35","11,35","Dire","DogChamp","Bloody Nine, talianoG, yarin, Destroyer, StoneBank","Wolf Team","KJ, Kingrd, HFn, Fcr, Sooths"
"6793982084","711321","14552","07 окт 2022 03:34","30:35","1835","23-37","23,37","Dire","DogChamp","Bloody Nine, talianoG, yarin, Destroyer, StoneBank","Wolf Team","KJ, Kingrd, HFn, Fcr, Sooths"
"6793945329","711321","14552","07 окт 2022 02:29","35:49","2149","19-45","19,45","Dire","Wolf Team","KJ, Kingrd, HFn, Fcr, Sooths","DogChamp","Bloody Nine, talianoG, yarin, Destroyer, StoneBank"
"6793882865","711278","14552","07 окт 2022 12:33","1:21:59","4919","36-63","36,63","Dire","SG esports","Prada, Yuma, LTH, Faker, Oscar","5RATFORCESTAFF","albinozebra1, Speeed, Kitzz, Merlin, Dnm"
"6793834549","711278","14552","06 окт 2022 11:17","43:44","2624","20-45","20,45","Dire","5RATFORCESTAFF","albinozebra1, Speeed, Kitzz, Merlin, Dnm","SG esports","Prada, Yuma, LTH, Faker, Oscar"
"6793757155","711278","14552","06 окт 2022 10:02","39:46","2386","15-60","15,60","Dire","SG esports","Prada, Yuma, LTH, Faker, Oscar","5RATFORCESTAFF","albinozebra1, Speeed, Kitzz, Merlin, Dnm"
"6793211503","711152","14552","06 окт 2022 03:51","42:28","2548","38-34","38,34","Radiant","Hokori","Thiolicor, Gardick, 4nalog, Vitaly, Lumière","Team SMG","Poloson, Moon, MidOne, Ahfu, MWW"
"6793095952","711152","14552","06 окт 2022 02:38","46:52","2812","32-48","32,48","Dire","Hokori","Thiolicor, Gardick, 4nalog, Vitaly, Lumière","Team SMG","Poloson, Moon, MidOne, Ahfu, MWW"
"6793002397","711152","14552","06 окт 2022 01:32","37:18","2238","16-41","16,41","Dire","Team SMG","Poloson, Moon, MidOne, Ahfu, MWW","Hokori","Thiolicor, Gardick, 4nalog, Vitaly, Lumière"
"6792933042","711121","14552","06 окт 2022 12:30","28:20","1700","6-41","6,41","Dire","Execration","Abeng, Bob, Tino, Palos, Shoyo","BOOM Esports","Skem, Tims, Fbz, Yopaj, JaCkky"
"6792839364","711121","14552","06 окт 2022 11:00","50:47","3047","29-46","29,46","Dire","Execration","Abeng, Bob, Tino, Palos, Shoyo","BOOM Esports","Skem, Tims, Fbz, Yopaj, JaCkky"
"6792399895","711017","14552","06 окт 2022 12:59","1:02:41","3761","49-53","49,53","Radiant","DogChamp","Bloody Nine, talianoG, yarin, Destroyer, StoneBank","The Cut","Scourge McDuck, Lil Nick, pingu, red2, bgod"
"6792360135","711017","14552","06 окт 2022 12:00","27:55","1675","13-36","13,36","Dire","The Cut","Scourge McDuck, Lil Nick, pingu, red2, bgod","DogChamp","Bloody Nine, talianoG, yarin, Destroyer, StoneBank"
"6792313267","710982","14552","05 окт 2022 10:55","34:00","2040","43-19","43,19","Radiant","Wolf Team","KJ, Kingrd, HFn, Fcr, Sooths","Ravens","D1smar, Benjaz, Kapron, Cara, Ñengoflow KELOKE"
"6792256325","710982","14552","05 окт 2022 10:00","29:09","1749","19-25","19,25","Dire","Ravens","D1smar, Benjaz, Kapron, Cara, Ñengoflow KELOKE","Wolf Team","KJ, Kingrd, HFn, Fcr, Sooths"
"6791976504","710908","14130","05 окт 2022 06:41","30:57","1857","21-45","21,45","Dire","X3","Velheor, dark, nattynarwhal_, Meh, Shergarat","Monaspa","SkyLark, SsaSpartan, dEsire, W1sh-, Nande"
"6791865201","710908","14130","05 окт 2022 05:37","35:46","2146","33-44","33,44","Dire","X3","Velheor, dark, nattynarwhal_, Meh, Shergarat","Monaspa","SkyLark, SsaSpartan, dEsire, W1sh-, Nande"
"6791756617","710908","14130","05 окт 2022 04:31","32:13","1933","21-61","21,61","Dire","X3","Velheor, dark, nattynarwhal_, Meh, Shergarat","Monaspa","SkyLark, SsaSpartan, dEsire, W1sh-, Nande"
"6791676771","710878","14552","05 окт 2022 03:43","34:02","2042","22-44","22,44","Dire","Army Geniuses","Varizh, db-, InYourdreaM, womy, Hustla","Team SMG","Poloson, Moon, MidOne, Ahfu, MWW"
"6791591912","710874","14130","05 окт 2022 02:55","37:14","2234","36-19","36,19","Radiant","Monaspa","SkyLark, SsaSpartan, dEsire, W1sh-, Nande","Wayfarers","squad1x, XSvamp1Re, HappyDyurara, Kazl, DarkLord^"
"6791571713","710878","14552","05 окт 2022 02:37","37:32","2252","32-37","32,37","Radiant","Team SMG","Poloson, Moon, MidOne, Ahfu, MWW","Army Geniuses","Varizh, db-, InYourdreaM, womy, Hustla"
"6791507529","710874","14130","05 окт 2022 01:58","29:26","1766","17-27","17,27","Dire","Monaspa","SkyLark, SsaSpartan, dEsire, W1sh-, Nande","Wayfarers","squad1x, XSvamp1Re, HappyDyurara, Kazl, DarkLord^"
"6791472457","710878","14552","05 окт 2022 01:30","41:21","2481","52-30","52,30","Radiant","Army Geniuses","Varizh, db-, InYourdreaM, womy, Hustla","Team SMG","Poloson, Moon, MidOne, Ahfu, MWW"
"6791434857","710874","14130","05 окт 2022 01:05","19:58","1198","8-22","8,22","Dire","Wayfarers","squad1x, XSvamp1Re, HappyDyurara, Kazl, DarkLord^","Monaspa","SkyLark, SsaSpartan, dEsire, W1sh-, Nande"
"6791381898","710860","14552","05 окт 2022 12:10","47:59","2879","18-38","18,38","Dire","Fnatic","Jabz, DJ, Raven, Jaunuel, Armel","Hokori","Thiolicor, Gardick, 4nalog, Vitaly, Lumière"
"6791299931","710860","14552","05 окт 2022 11:00","44:26","2666","39-24","39,24","Radiant","Hokori","Thiolicor, Gardick, 4nalog, Vitaly, Lumière","Fnatic","Jabz, DJ, Raven, Jaunuel, Armel"
"6790917013","710767","14552","05 окт 2022 02:48","37:01","2221","39-18","39,18","Radiant","SG esports","Prada, Yuma, LTH, Faker, Oscar","The Cut","Scourge McDuck, Lil Nick, pingu, red2, bgod"
"6790880403","710767","14552","05 окт 2022 01:34","48:57","2937","39-38","39,38","Radiant","SG esports","Prada, Yuma, LTH, Faker, Oscar","The Cut","Scourge McDuck, Lil Nick, pingu, red2, bgod"
"6790837306","710767","14552","05 окт 2022 12:21","41:05","2465","44-40","44,40","Radiant","The Cut","Scourge McDuck, Lil Nick, pingu, red2, bgod","SG esports","Prada, Yuma, LTH, Faker, Oscar"
"6790780319","710737","14552","04 окт 2022 11:04","33:56","2036","12-27","12,27","Dire","Ravens","D1smar, Benjaz, Kapron, Cara, Ñengoflow KELOKE","5RATFORCESTAFF","albinozebra1, Speeed, Kitzz, Merlin, Dnm"
"6790721550","710737","14552","04 окт 2022 10:04","34:26","2066","16-28","16,28","Dire","Ravens","D1smar, Benjaz, Kapron, Cara, Ñengoflow KELOKE","5RATFORCESTAFF","albinozebra1, Speeed, Kitzz, Merlin, Dnm"
"6790658300","710677","14130","04 окт 2022 09:18","21:14","1274","41-11","41,11","Radiant","Monaspa","SkyLark, SsaSpartan, dEsire, W1sh-, Nande","Anime Enjoyers","Dayshi, , sunset, KaChal, Pastil"
"6790555177","710677","14130","04 окт 2022 08:00","42:25","2545","31-45","31,45","Dire","Anime Enjoyers","Dayshi, , sunset, KaChal, Pastil","Monaspa","SkyLark, SsaSpartan, dEsire, W1sh-, Nande"
"6790412904","710622","14130","04 окт 2022 06:28","37:03","2223","24-32","24,32","Dire","cybercats","Nefrit, Fezor, 6ym_6ym, DkFogas, Egor","Anime Enjoyers","Dayshi, , sunset, KaChal, Pastil"
"6790382356","710621","14130","04 окт 2022 06:14","47:04","2824","20-45","20,45","Dire","Wayfarers","squad1x, XSvamp1Re, HappyDyurara, Kazl, DarkLord^","X3","Velheor, dark, nattynarwhal_, Meh, Shergarat"
"6790339506","710622","14130","04 окт 2022 05:46","18:22","1102","9-35","9,35","Dire","cybercats","Nefrit, Fezor, 6ym_6ym, DkFogas, Egor","Anime Enjoyers","Dayshi, , sunset, KaChal, Pastil"
"6790263310","710622","14130","04 окт 2022 05:00","16:16","976","6-22","6,22","Dire","Anime Enjoyers","Dayshi, , sunset, KaChal, Pastil","cybercats","Nefrit, Fezor, 6ym_6ym, DkFogas, Egor"
"6790262094","710621","14130","04 окт 2022 05:00","46:09","2769","37-19","37,19","Radiant","X3","Velheor, dark, nattynarwhal_, Meh, Shergarat","Wayfarers","squad1x, XSvamp1Re, HappyDyurara, Kazl, DarkLord^"
"6790018680","710581","14130","04 окт 2022 02:38","20:24","1224","29-7","29,7","Radiant","Monaspa","SkyLark, SsaSpartan, dEsire, W1sh-, Nande","LUNA GAMING","Unknown, Время в никуда, Kraker, Agressive child, TSA"
"6789997554","710572","14552","04 окт 2022 02:18","29:58","1798","9-26","9,26","Dire","Team SMG","Poloson, Moon, MidOne, Ahfu, MWW","BOOM Esports","Skem, Tims, Fbz, Yopaj, JaCkky"
